didok;stationsbezeichnung;datum;feiertag;wochentag;national;servicetyp;servicename;closed;von1;bis1;von2;bis2;von3;bis3;unternehmung;key;bpuic
10;Basel SBB;01.08.2023;Bundesfeiertag;Tuesday;ja;100;Billette, Abonnemente, Freizeitangebote;;06:00;21:00;;;;;SBB;10-2023-08-01T00:00:00-100;8500010
10;Basel SBB;01.08.2023;Bundesfeiertag;Tuesday;ja;1000;Geldwechsel;;09:30;18:00;;;;;SBB;10-2023-08-01T00:00:00-1000;8500010
10;Basel SBB;01.05.2023;Tag der Arbeit;Monday;ja;2116;InfoPoint;;08:00;21:30;;;;;SBB;10-2023-05-01T00:00:00-2116;8500010
10;Basel SBB;10.04.2023;Ostermontag;Monday;ja;100;Billette, Abonnemente, Freizeitangebote;;06:00;21:00;;;;;SBB;10-2023-04-10T00:00:00-100;8500010
10;Basel SBB;10.04.2023;Ostermontag;Monday;ja;1100;Western Union;;09:30;18:00;;;;;SBB;10-2023-04-10T00:00:00-1100;8500010
10;Basel SBB;09.04.2023;Ostern;Sunday;ja;500;Gepäck;;09:00;18:00;;;;;SBB;10-2023-04-09T00:00:00-500;8500010
10;Basel SBB;07.04.2023;Karfreitag;Friday;ja;100;Billette, Abonnemente, Freizeitangebote;;06:00;21:00;;;;;SBB;10-2023-04-07T00:00:00-100;8500010
105;Moutier;18.05.2023;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;CFF;105-2023-05-18T00:00:00-9999;8500105
105;Moutier;09.04.2023;Ostern;Sunday;ja;9999;Alle Services;ja;;;;;;;CFF;105-2023-04-09T00:00:00-9999;8500105
109;Delémont;01.11.2023;Allerheiligen;Wednesday;;9999;Alle Services;;08:00;12:00;13:30;17:00;;;CFF;109-2023-11-01T00:00:00-9999;8500109
113;Laufen;29.05.2023;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;113-2023-05-29T00:00:00-9999;8500113
113;Laufen;18.05.2023;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;113-2023-05-18T00:00:00-9999;8500113
113;Laufen;01.05.2023;Tag der Arbeit;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;113-2023-05-01T00:00:00-9999;8500113
118;Dornach-Arlesheim;29.05.2023;Pfingstmontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;118-2023-05-29T00:00:00-9999;8500118
118;Dornach-Arlesheim;18.05.2023;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;118-2023-05-18T00:00:00-9999;8500118
126;Porrentruy;15.08.2023;Maria Himmelfahrt;Tuesday;ja;9999;Alle Services;ja;;;;;;;CFF;126-2023-08-15T00:00:00-9999;8500126
126;Porrentruy;18.05.2023;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;CFF;126-2023-05-18T00:00:00-9999;8500126
126;Porrentruy;10.04.2023;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;CFF;126-2023-04-10T00:00:00-9999;8500126
202;Grenchen Süd;15.08.2023;Maria Himmelfahrt;Tuesday;ja;9999;Alle Services;ja;;;;;;;SBB;202-2023-08-15T00:00:00-9999;8500202
202;Grenchen Süd;18.05.2023;Auffahrt;Thursday;ja;9999;Alle Services;ja;;;;;;;SBB;202-2023-05-18T00:00:00-9999;8500202
202;Grenchen Süd;01.05.2023;Tag der Arbeit;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;202-2023-05-01T00:00:00-9999;8500202
207;Solothurn;15.08.2023;Maria Himmelfahrt;Tuesday;ja;1400;Velovermietung;;10:00;17:00;;;;;SBB;207-2023-08-15T00:00:00-1400;8500207
207;Solothurn;29.05.2023;Pfingstmontag;Monday;ja;1400;Velovermietung;;10:00;17:00;;;;;SBB;207-2023-05-29T00:00:00-1400;8500207
207;Solothurn;27.05.2023;Pfingstsamstag;Saturday;ja;1400;Velovermietung;;10:00;17:00;;;;;SBB;207-2023-05-27T00:00:00-1400;8500207
207;Solothurn;07.04.2023;Karfreitag;Friday;ja;1400;Velovermietung;;10:00;17:00;;;;;SBB;207-2023-04-07T00:00:00-1400;8500207
212;Oensingen;10.04.2023;Ostermontag;Monday;ja;9999;Alle Services;ja;;;;;;;SBB;212-2023-04-10T00:00:00-9999;8500212
212;Oensingen;08.04.2023;Ostersamstag;Saturday;ja;9999;Alle Services;ja;;;;;;;SBB;212-2023-04-08T00:00:00-9999;8500212
218;Olten;01.11.2023;Allerheiligen;Wednesday;ja;9999;Alle Services;;08:00;18:30;;;;;SBB;218-2023-11-01T00:00:00-9999;8500218
218;Olten;29.05.2023;Pfingstmontag;Monday;ja;9999;Alle Services;;09:00;18:30;;;;;SBB;218-2023-05-29T00:00:00-9999;8500218
