Zeitstempel,Feiertag,Feiertag_bool
01/01/2018 00:00,Neujahrstag,1
30/03/2018 00:00,Karfreitag,1
02/04/2018 00:00,Ostermontag,1
10/05/2018 00:00,Christi Himmelfahrt,1
21/05/2018 00:00,Pfingstmontag,1
01/08/2018 00:00,Nationalfeiertag,1
01/11/2018 00:00,Allerheiligen,1
25/12/2018 00:00,Weihnachtstag,1
26/12/2018 00:00,Stephanstag,1
01/01/2019 00:00,Neujahrstag,1
19/04/2019 00:00,Karfreitag,1
22/04/2019 00:00,Ostermontag,1
30/05/2019 00:00,Christi Himmelfahrt,1
10/06/2019 00:00,Pfingstmontag,1
01/08/2019 00:00,Nationalfeiertag,1
01/11/2019 00:00,Allerheiligen,1
25/12/2019 00:00,Weihnachtstag,1
26/12/2019 00:00,Stephanstag,1
01/01/2020 00:00,Neujahrstag,1
10/04/2020 00:00,Karfreitag,1
13/04/2020 00:00,Ostermontag,1
21/05/2020 00:00,Christi Himmelfahrt,1
01/06/2020 00:00,Pfingstmontag,1
01/08/2020 00:00,Nationalfeiertag,1
01/11/2020 00:00,Allerheiligen,1
25/12/2020 00:00,Weihnachtstag,1
26/12/2020 00:00,Stephanstag,1
01/01/2021 00:00,Neujahrstag,1
02/04/2021 00:00,Karfreitag,1
05/04/2021 00:00,Ostermontag,1
13/05/2021 00:00,Christi Himmelfahrt,1
24/05/2021 00:00,Pfingstmontag,1
01/08/2021 00:00,Nationalfeiertag,1
01/11/2021 00:00,Allerheiligen,1
25/12/2021 00:00,Weihnachtstag,1
26/12/2021 00:00,Stephanstag,1
01/01/2022 00:00,Neujahrstag,1
15/04/2022 00:00,Karfreitag,1
18/04/2022 00:00,Ostermontag,1
26/05/2022 00:00,Christi Himmelfahrt,1
06/06/2022 00:00,Pfingstmontag,1
01/08/2022 00:00,Nationalfeiertag,1
01/11/2022 00:00,Allerheiligen,1
25/12/2022 00:00,Weihnachtstag,1
26/12/2022 00:00,Stephanstag,1
