Date Created,Tweets,Einschr_type,haltestellen,linien,von,bis
2023-05-30 21:51:03+00:00,"einschränkung st. erhard-knutwil - sursee: der bahnverkehr auf der strecke olten - luzern ist zwischen st. erhard-knutwil und sursee eingeschränkt.
der grund dafür ist eine technische störung an der bahnanlage.
die einschränkung dauert bis 31.05.2023,… ",Einschränkung,olten,EC,,
2023-05-30 21:51:03+00:00,"einschränkung st. erhard-knutwil - sursee: der bahnverkehr auf der strecke olten - luzern ist zwischen st. erhard-knutwil und sursee eingeschränkt.
der grund dafür ist eine technische störung an der bahnanlage.
die einschränkung dauert bis 31.05.2023,… ",Einschränkung,luzern,EC,,
2023-05-30 17:17:03+00:00,"aufgehoben: einschränkung mellingen heitersberg - killwangen-spreitenbach: die einschränkung des bahnverkehrs auf der strecke olten - zürich hb zwischen mellingen heitersberg und killwangen-spreitenbach ist aufgehoben.
es ist noch mit verspätungen und… ",Aufgehoben:,zürich hb,EC,,
2023-05-30 10:21:03+00:00,"aufgehoben: einschränkung bern - bern weissenbühl: die einschränkung des bahnverkehrs auf der strecke bern - belp zwischen bern und bern weissenbühl ist aufgehoben.
es ist noch mit verspätungen und vereinzelten ausfällen zu rechnen. ",Aufgehoben:,bern,EC,,
2023-05-30 07:58:02+00:00,"aufgehoben: unterbruch st. gallen - trogen: der unterbruch des bahnverkehrs zwischen st. gallen und trogen ist aufgehoben.
es ist noch mit verspätungen zu rechnen. ",Aufgehoben:,st. gallen,EC,,
2023-05-29 16:51:34+00:00,"einschränkung zürich hb - thalwil: der bahnverkehr zwischen zürich hb und thalwil ist eingeschränkt.
der grund dafür ist ein zug, der die strecke blockiert.
die dauer der einschränkung ist unbestimmt.
es ist mit verspätungen, ausfällen und umleitungen zu… ",Einschränkung,zürich hb,EC,,
2023-05-29 13:28:33+00:00,"einschränkung lugano: der bahnverkehr im bahnhof lugano ist eingeschränkt.
der grund dafür ist ein zug, der die strecke blockiert.
die einschränkung dauert bis 29.05.2023, ca. 16:00.
betroffen sind die linien ic2, ic21, re80, s90, s10.
es ist mit… ",Einschränkung,lugano,EC,,
2023-05-29 13:28:33+00:00,"einschränkung lugano: der bahnverkehr im bahnhof lugano ist eingeschränkt.
der grund dafür ist ein zug, der die strecke blockiert.
die einschränkung dauert bis 29.05.2023, ca. 16:00.
betroffen sind die linien ic2, ic21, re80, s90, s10.
es ist mit… ",Einschränkung,lugano,IC2,,
2023-05-28 14:11:03+00:00,"aufgehoben: unterbruch baldegg - hitzkirch: der unterbruch des bahnverkehrs auf der strecke luzern - lenzburg zwischen baldegg und hitzkirch ist aufgehoben.
die züge verkehren wieder nach fahrplan. ",Aufgehoben:,luzern,EC,,
2023-05-27 12:17:33+00:00,"aufgehoben: einschränkung bern - olten: die einschränkung des bahnverkehrs zwischen bern und olten ist aufgehoben.
es ist noch mit verspätungen zu rechnen. ",Aufgehoben:,bern,EC,,
2023-05-27 12:17:33+00:00,"aufgehoben: einschränkung bern - olten: die einschränkung des bahnverkehrs zwischen bern und olten ist aufgehoben.
es ist noch mit verspätungen zu rechnen. ",Aufgehoben:,olten,EC,,
2023-05-27 08:09:02+00:00,"unterbruch basel bad bf: der bahnverkehr im bahnhof basel bad bf ist unterbrochen.
der grund dafür ist ein polizeieinsatz.
die einschränkung dauert bis 27.05.2023, ca. 12:00.
betroffen sind die linien ice, re, s6.
reisende zwischen basel sbb und basel… ",Unterbruch,basel sbb,ICE,,
2023-05-26 18:05:03+00:00,"unterbruch stäfa - uerikon: der bahnverkehr zwischen stäfa und uerikon ist unterbrochen.
die dauer der einschränkung ist unbestimmt.
betroffen ist die linie s7.
es ist mit verspätungen und ausfällen zu rechnen.
reisende zwischen zürich hb und rapperswil… ",Unterbruch,zürich hb,EC,,
2023-05-25 20:16:02+00:00,"aufgehoben: unterbruch bad krozingen - freiburg (breisgau) hbf: der unterbruch des bahnverkehrs auf der strecke basel sbb - freiburg (breisgau) hbf zwischen bad krozingen und freiburg (breisgau) hbf ist aufgehoben.
es ist noch mit verspätungen zu rechnen. ",Aufgehoben:,basel sbb,EC,,
2023-05-25 10:14:32+00:00,"aufgehoben: einschränkung melide - lugano: die einschränkung des bahnverkehrs zwischen melide und lugano ist aufgehoben.
es ist noch mit verspätungen und vereinzelten ausfällen zu rechnen. ",Aufgehoben:,lugano,EC,,
2023-05-25 07:47:03+00:00,"aufgehoben: einschränkung lenzburg - othmarsingen: die einschränkung des bahnverkehrs auf der strecke aarau - zürich hb zwischen lenzburg und othmarsingen ist aufgehoben.
es ist noch mit verspätungen zu rechnen. ",Aufgehoben:,zürich hb,EC,,
2023-05-25 07:27:34+00:00,"einschränkung lenzburg - othmarsingen: der bahnverkehr auf der strecke aarau - olten ist zwischen lenzburg und othmarsingen eingeschränkt.
der grund dafür ist ein zug, der die strecke blockiert.
es ist mit verspätungen, ausfällen und umleitungen zu… ",Einschränkung,olten,EC,,
2023-05-24 06:06:02+00:00,"aufgehoben: unterbruch zürich binz - zürich triemli: der unterbruch des bahnverkehrs auf der strecke zürich hb szu - uetliberg zwischen zürich binz und zürich triemli ist aufgehoben.
die züge verkehren wieder nach fahrplan. ",Aufgehoben:,zürich hb,EC,,
