LINIEN_ID,LINIEN_TEXT
1060,IC6
1063,IC6
1068,IC6
10703,IC1
10705,IC1
10706,IC1
10707,IC1
10708,IC1
10709,IC1
10710,IC1
10711,IC1
10712,IC1
10714,IC1
10715,IC1
10716,IC1
10717,IC1
10718,IC1
10720,IC1
10721,IC1
10723,IC1
10724,IC1
10725,IC1
10726,IC1
10730,IC1
10731,IC1
10732,IC1
10733,IC1
10734,IC1
10735,IC1
10736,IC1
10738,IC1
10739,IC1
1075,IC6
1076,IC6
1079,IC6
1084,IC6
1085,IC6
1087,IC6
1091,IC6
1096,IC6
338,IC6
704,IC1
737,IC1
740,IC1
80727,IC1
80729,IC1
957,IC6
960,IC6
961,IC6
964,IC6
967,IC6
968,IC6
971,IC6
974,IC6
975,IC6
978,IC6
979,IC6
982,IC6
983,IC6
986,IC6
543,IC5
1251,IC3
1253,IC3
1255,IC3
760,IC3
764,IC3
767,IC3
769,IC3
770,IC3
771,IC3
772,IC3
775,IC3
776,IC3
778,IC3
782,IC3
783,IC3
787,IC3
791,IC3
792,IC3
793,IC3
1487,IC2
861,IC2
865,IC2
866,IC2
869,IC2
870,IC2
873,IC2
874,IC2
877,IC2
878,IC2
881,IC2
882,IC2
885,IC2
886,IC2
890,IC2
894,IC2
895,IC2
10727,IC1
10729,IC1
30791,IC3
30792,IC3
30793,IC3
773,IC3
1482,IC2
703,IC1
735,IC1
738,IC1
739,IC1
705,IC1
706,IC1
707,IC1
708,IC1
709,IC1
710,IC1
711,IC1
712,IC1
713,IC1
714,IC1
715,IC1
716,IC1
717,IC1
718,IC1
719,IC1
720,IC1
721,IC1
722,IC1
723,IC1
724,IC1
725,IC1
726,IC1
727,IC1
728,IC1
729,IC1
730,IC1
731,IC1
732,IC1
733,IC1
734,IC1
736,IC1
1507,IC5
1508,IC5
1509,IC5
1510,IC5
1511,IC5
1512,IC5
1513,IC5
1514,IC5
1515,IC5
1516,IC5
1517,IC5
1518,IC5
1519,IC5
1520,IC5
1521,IC5
1522,IC5
1523,IC5
1524,IC5
1525,IC5
1526,IC5
1527,IC5
1528,IC5
1529,IC5
1530,IC5
1531,IC5
1532,IC5
1533,IC5
1534,IC5
1535,IC5
1536,IC5
1537,IC5
1538,IC5
507,IC5
508,IC5
509,IC5
510,IC5
511,IC5
512,IC5
513,IC5
514,IC5
515,IC5
516,IC5
517,IC5
518,IC5
521,IC5
522,IC5
523,IC5
524,IC5
525,IC5
526,IC5
527,IC5
528,IC5
529,IC5
530,IC5
531,IC5
532,IC5
533,IC5
534,IC5
535,IC5
536,IC5
537,IC5
538,IC5
539,IC5
540,IC5
541,IC5
542,IC5
1258,IC3
551,IC3
556,IC3
559,IC3
560,IC3
561,IC3
563,IC3
564,IC3
565,IC3
569,IC3
572,IC3
575,IC3
576,IC3
578,IC3
579,IC3
581,IC3
582,IC3
583,IC3
584,IC3
587,IC3
591,IC3
70568,IC3
1464,IC2
1466,IC2
889,IC2
71084,IC6
519,IC5
520,IC5
568,IC3
70974,IC6
70707,IC1
70721,IC1
31578,IC3
70564,IC3
70576,IC3
70770,IC3
1475,IC2
1479,IC2
1483,IC2
10902,IC1
10908,IC1
70709,IC1
31520,IC5
70538,IC5
571,IC3
71060,IC6
1539,IC5
70511,IC5
71517,IC5
70739,IC1
70510,IC5
70528,IC5
1478,IC2
70712,IC1
70536,IC5
70541,IC5
1474,IC2
70737,IC1
70530,IC5
70960,IC6
70711,IC1
70713,IC1
70715,IC1
70515,IC5
70517,IC5
1471,IC2
80709,IC1
30739,IC1
70736,IC1
70724,IC1
70726,IC1
70728,IC1
71530,IC5
30560,IC3
70729,IC1
70572,IC3
71258,IC3
70730,IC1
70539,IC5
31060,IC6
70520,IC5
70733,IC1
