Date Created,Tweets
2023-04-29 19:19:33+00:00,"Aufgehoben: Unterbruch Delémont - Laufen: 29.04.2023 20:53 - 21:14

Der Unterbruch des Bahnverkehrs auf der Strecke Delémont - Basel SBB zwischen Delémont und Laufen ist aufgehoben.
Es ist noch mit Verspätungen und vereinzelten Ausfällen zu rechnen. https://t.co/cketP6AXnd"
2023-04-29 19:06:03+00:00,"Unterbruch Delémont - Laufen: 29.04.2023 20:53 - 23:53

Der Bahnverkehr auf der Strecke Delémont - Basel SBB ist zwischen Delémont und Laufen unterbrochen.
Grund dafür ist ein Brand in Gleisnähe.
Die Dauer der Einschränkung ist unbestimmt.
Betroffen sind… https://t.co/JrAkUWkKcp"
2023-04-28 21:32:32+00:00,"Unterbruch Bad Krozingen - Basel SBB: 28.04.2023 21:38 - 29.04.2023 00:30

Der Bahnverkehr auf der Strecke Freiburg (Breisgau) Hbf - Basel SBB ist zwischen Bad Krozingen und Basel SBB unterbrochen.
Die Einschränkung dauert bis 29.04.2023, ca. 00:30.
Es… https://t.co/i0162NUjTN"
2023-04-28 19:55:02+00:00,"Unterbruch Bad Krozingen - Basel SBB: 28.04.2023 21:38 - 23:59

Der Bahnverkehr auf der Strecke Freiburg (Breisgau) Hbf - Basel SBB ist zwischen Bad Krozingen und Basel SBB unterbrochen.
Die Dauer der Einschränkung ist unbestimmt.
Es ist mit Verspätungen… https://t.co/MbCNTcrLwM"
2023-04-28 18:55:02+00:00,"Aufgehoben: Einschränkung Zürich HB, Gleise 31-34: 28.04.2023 20:30 - 20:50

Die Einschränkung des Bahnverkehrs im Bahnhof Zürich HB, Gleise 31-34 ist aufgehoben.
Die Züge verkehren wieder nach Fahrplan. https://t.co/ETXHGzaBXE"
2023-04-28 18:35:32+00:00,"Einschränkung Zürich HB, Gleise 31-34: 28.04.2023 20:30 - 20:50

Der Bahnverkehr im Bahnhof Zürich HB, Gleise 31-34 ist eingeschränkt.
Grund dafür ist eine technische Störung an der Bahnanlage.
Die Dauer der Einschränkung ist unbestimmt.
Es ist mit… https://t.co/97t6mCbAeS"
2023-04-28 17:46:03+00:00,"Aufgehoben: Einschränkung Zürich HB, Gleise 31-34: 28.04.2023 19:25 - 19:27

Die Einschränkung des Bahnverkehrs im Bahnhof Zürich HB, Gleise 31-34 ist aufgehoben.
Die Züge verkehren wieder nach Fahrplan. https://t.co/IqcX0Gk77g"
2023-04-28 07:52:33+00:00,"Aufgehoben: Einschränkung Gümligen - Münsingen: 28.04.2023 05:48 - 09:51

Die Einschränkung des Bahnverkehrs auf der Strecke Bern - Thun zwischen Gümligen und Münsingen ist aufgehoben.
Die Züge verkehren wieder nach Fahrplan. https://t.co/puPm6N4ksu"
2023-04-28 07:25:03+00:00,"Aufgehoben: Einschränkung Gümligen - Münsingen: 28.04.2023 05:48 - 09:30

Die Einschränkung des Bahnverkehrs auf der Strecke Bern - Thun zwischen Gümligen und Münsingen ist aufgehoben.
Die Züge verkehren wieder nach Fahrplan. https://t.co/l3ziW0tLrs"
2023-04-28 06:20:34+00:00,"Einschränkung Gümligen - Münsingen: 28.04.2023 05:48 - 09:30

Der Bahnverkehr auf der Strecke Bern - Thun ist zwischen Gümligen und Münsingen eingeschränkt.
Die Einschränkung dauert bis 28.04.2023, ca. 09:30.
Betroffen sind die Linien IC6, IC61, RE, S1.… https://t.co/xqh5zYW1A9"
2023-04-28 06:05:32+00:00,"Einschränkung Gümligen - Münsingen: 28.04.2023 05:48 - 08:48

Der Bahnverkehr auf der Strecke Bern - Thun ist zwischen Gümligen und Münsingen eingeschränkt.
Die Einschränkung dauert bis 28.04.2023, ca. 09:30.
Betroffen sind die Linien IC6, IC61, RE, S1.… https://t.co/T3JQH5eX21"
2023-04-28 05:51:32+00:00,"Einschränkung Gümligen - Münsingen: 28.04.2023 05:48 - 08:48

Der Bahnverkehr auf der Strecke Bern - Thun ist zwischen Gümligen und Münsingen eingeschränkt.
Die Einschränkung dauert bis 28.04.2023, ca. 09:30.
Betroffen sind die Linien IC6, IC61, RE, S1.… https://t.co/1lt1kppPkH"
