 

stn;time;fu3010d1;ths2dxdv;rka150d0;ure200d0;hto000d0;su2000d0;fhh010dx
BAS;20220401;30.6;-7.3;19.3;92.7;0;0.0;3.6
BAS;20220402;38.9;-10.4;2.8;89.9;2;0.0;4.5
BAS;20220403;22.7;-8.5;0.0;77.8;1;0.1;2.0
BAS;20220404;49.3;-4.1;0.0;64.3;0;9.4;5.5
BAS;20220405;27.4;-0.8;0.4;66.9;0;0.0;3.1
BAS;20220406;47.5;2.1;0.0;72.1;0;0.2;4.9
BAS;20220407;82.1;2.2;12.6;66.8;0;0.1;12.9
BAS;20220408;81.4;2.2;14.4;76.1;0;1.2;11.5
BAS;20220409;43.2;-3.8;4.8;73.0;0;3.8;5.2
BAS;20220410;17.6;-0.5;0.0;60.6;0;10.6;1.8
BAS;20220411;33.5;5.2;0.0;47.2;0;10.1;3.8
BAS;20220412;40.3;9.5;0.0;48.8;0;8.1;4.8
BAS;20220413;22.7;9.4;0.0;51.7;0;9.7;2.9
BAS;20220414;27.4;8.1;0.0;65.6;0;10.5;3.1
BAS;20220415;27.4;7.7;0.0;63.5;0;7.5;2.6
BAS;20220416;51.1;3.7;0.0;59.1;0;9.9;6.1
BAS;20220417;43.6;4.0;0.0;40.6;0;12.5;4.6
BAS;20220418;31.7;4.7;0.0;45.2;0;12.7;2.5
BAS;20220419;24.1;5.1;0.0;50.7;0;11.5;2.2
BAS;20220420;29.5;3.7;0.0;49.4;0;11.6;2.6
BAS;20220421;25.6;3.9;0.0;52.2;0;12.0;1.8
BAS;20220422;19.1;3.6;0.0;65.6;0;10.5;2.2
BAS;20220423;37.4;0.8;2.1;74.3;0;0.6;2.7
BAS;20220424;37.1;-4.1;22.4;90.2;0;0.0;3.5
BAS;20220425;33.1;0.3;11.5;88.5;0;1.3;3.1
BAS;20220426;31.0;-0.3;6.0;72.4;0;5.3;3.7
BAS;20220427;22.7;1.4;0.0;69.4;0;7.1;2.6
BAS;20220428;26.3;5.2;0.0;57.8;0;13.0;2.6
BAS;20220429;23.4;3.5;0.0;54.9;0;6.2;2.7
BAS;20220430;47.2;1.8;0.0;69.3;0;8.3;4.5
BAS;20220501;23.8;0.9;0.0;68.6;0;8.5;2.2
BAS;20220502;22.3;2.9;0.0;65.7;0;10.7;2.0
BAS;20220503;23.8;5.1;0.0;63.4;0;10.3;3.7
BAS;20220504;25.6;2.7;1.2;74.5;0;5.2;3.2
BAS;20220505;19.1;-4.4;10.0;92.0;0;0.0;2.0
BAS;20220506;21.2;-1.8;3.9;92.9;0;0.0;2.2
BAS;20220507;24.5;3.1;0.1;78.5;0;4.9;2.1
BAS;20220508;15.1;1.9;0.0;74.2;0;3.7;1.9
BAS;20220509;22.3;5.9;0.0;71.2;0;7.1;1.7
BAS;20220510;25.6;7.3;0.0;67.1;0;9.7;2.3
BAS;20220511;29.2;10.3;0.0;59.9;0;11.9;3.3
BAS;20220512;30.6;7.8;0.9;64.9;0;7.8;3.1
BAS;20220513;25.9;3.9;0.2;78.6;0;2.1;3.6
BAS;20220514;27.4;6.1;0.0;62.9;0;12.8;2.3
BAS;20220515;26.3;9.7;0.0;56.1;0;12.3;2.6
BAS;20220516;32.8;5.9;3.5;68.0;0;7.7;3.4
BAS;20220517;19.4;8.1;0.0;63.9;0;12.8;2.0
