 

stn;time;fu3010d1;ths2dxdv;rka150d0;ure200d0;hto000d0;su2000d0;fhh010dx
BER;20220401;24.1;-6.1;14.6;94.2;2;0.0;2.9
BER;20220402;29.9;-9.2;2.8;89.3;9;0.0;3.5
BER;20220403;34.2;-8.8;0.0;81.3;5;1.6;4.9
BER;20220404;34.2;-2.5;0.0;70.6;4;9.4;4.1
BER;20220405;18.7;0.9;0.0;67.4;0;0.1;2.2
BER;20220406;41.8;5.2;1.0;70.1;0;4.1;4.0
BER;20220407;65.9;-0.5;5.3;77.7;0;0.1;8.4
BER;20220408;71.3;1.8;7.1;73.4;0;0.3;9.5
BER;20220409;78.5;-2.1;4.4;81.5;0;1.4;7.8
BER;20220410;23.0;-1.1;1.6;71.1;0;11.1;2.7
BER;20220411;16.2;3.8;0.0;68.8;0;10.6;1.9
BER;20220412;18.7;8.1;0.0;64.6;0;10.9;2.1
BER;20220413;20.5;8.8;0.0;64.2;0;10.4;2.3
BER;20220414;25.6;9.1;0.0;67.0;0;11.3;3.8
BER;20220415;44.6;7.7;0.0;70.4;0;11.1;4.6
BER;20220416;65.5;1.9;0.0;63.5;0;12.5;8.4
BER;20220417;50.4;2.2;0.0;49.3;0;12.5;7.1
BER;20220418;26.3;4.6;0.0;55.2;0;12.7;3.2
BER;20220419;25.9;5.3;0.0;56.2;0;11.4;2.6
BER;20220420;42.5;4.0;0.0;57.5;0;10.5;5.4
BER;20220421;40.7;3.8;0.0;56.3;0;12.4;5.6
BER;20220422;20.5;3.6;0.0;67.1;0;11.5;3.7
BER;20220423;57.6;1.2;0.8;79.9;0;2.3;7.4
BER;20220424;45.0;-2.7;11.1;87.4;0;0.0;5.2
BER;20220425;19.1;-3.3;23.4;93.7;0;0.0;2.4
BER;20220426;29.9;-0.3;6.2;80.9;0;6.4;4.7
BER;20220427;39.2;2.0;0.0;72.7;0;13.1;5.5
BER;20220428;37.1;4.5;0.0;65.0;0;13.1;5.0
BER;20220429;22.7;5.2;0.0;64.2;0;8.3;2.8
BER;20220430;41.8;2.6;0.5;73.5;0;6.2;5.7
BER;20220501;33.5;1.1;0.0;71.6;0;13.1;5.1
BER;20220502;32.4;3.3;0.0;67.9;0;11.2;3.7
BER;20220503;34.6;3.5;1.1;77.9;0;6.5;4.3
BER;20220504;31.7;2.4;8.0;78.4;0;7.3;3.7
BER;20220505;16.9;-4.6;15.6;93.9;0;0.0;2.0
BER;20220506;32.4;-2.4;0.3;91.8;0;0.1;3.6
BER;20220507;33.5;2.4;0.0;82.3;0;5.9;4.4
BER;20220508;25.6;0.5;0.0;82.4;0;1.2;3.5
BER;20220509;30.6;4.1;0.0;74.5;0;7.8;3.5
BER;20220510;23.8;6.8;0.0;66.4;0;12.2;3.2
BER;20220511;41.0;9.4;0.0;57.9;0;13.8;6.1
BER;20220512;34.6;9.2;0.0;57.4;0;9.2;4.5
BER;20220513;24.1;3.7;1.7;78.8;0;4.7;3.9
BER;20220514;28.8;7.0;0.0;67.8;0;12.8;3.5
BER;20220515;57.6;9.2;0.0;65.2;0;12.6;7.1
BER;20220516;27.7;6.5;0.0;67.8;0;9.7;3.1
BER;20220517;23.4;8.0;0.0;70.0;0;13.2;2.9
BER;20220518;29.2;9.2;0.0;65.9;0;12.9;4.0
BER;20220519;42.1;10.5;0.0;64.3;0;11.9;4.4
BER;20220520;56.9;11.8;0.0;53.2;0;11.5;7.1
BER;20220521;33.5;7.6;1.3;72.2;0;10.3;4.1
BER;20220522;27.7;6.5;1.2;80.8;0;2.2;3.2
BER;20220523;38.2;7.2;4.4;80.5;0;4.9;3.6
BER;20220524;34.2;-2.2;2.4;81.6;0;0.0;3.3
BER;20220525;29.9;2.4;0.0;66.5;0;9.6;2.7
BER;20220526;24.8;3.6;0.0;66.9;0;12.1;3.6
BER;20220527;33.1;5.7;0.0;67.5;0;14.3;4.1
BER;20220528;34.6;0.6;0.0;54.3;0;9.7;4.9
BER;20220529;30.6;-1.1;0.0;54.9;0;10.3;4.3
BER;20220530;25.6;1.7;0.0;59.1;0;10.9;3.3
BER;20220531;41.8;0.0;2.4;77.6;0;1.3;4.7
BER;20220601;22.3;0.2;1.5;85.9;0;2.9;2.6
BER;20220602;23.4;5.2;0.0;78.2;0;8.0;3.4
BER;20220603;26.6;3.9;0.1;77.3;0;5.5;3.3
BER;20220604;40.0;8.1;4.8;75.8;0;9.8;4.2
BER;20220605;48.6;3.3;28.1;86.5;0;3.1;3.7
BER;20220606;25.6;4.5;2.2;77.8;0;6.7;3.5
BER;20220607;33.5;2.1;5.7;76.5;0;4.0;3.8
BER;20220608;42.8;-0.5;0.4;75.8;0;4.8;4.4
BER;20220609;30.6;-0.8;0.0;70.5;0;3.0;4.3
BER;20220610;36.0;1.9;0.0;67.8;0;14.3;4.1
BER;20220611;23.0;5.9;0.0;61.6;0;14.2;3.3
BER;20220612;24.8;10.0;0.0;55.2;0;11.8;2.6
