 

stn;time;fu3010d1;ths2dxdv;rka150d0;ure200d0;hto000d0;su2000d0;w3p002d0;w5p002d0;w2p001d0;w2p002d0;fhh010dx
LUG;20220401;63.0;-1.5;15.5;75.0;0;2.0;-;-;-;-;12.3
LUG;20220402;46.1;-3.2;0.0;57.8;0;3.8;-;-;-;-;5.7
LUG;20220403;41.0;-3.0;0.0;54.3;0;6.5;-;-;-;-;7.4
LUG;20220404;24.1;-3.1;1.2;70.0;0;4.2;-;-;-;-;3.2
LUG;20220405;28.4;1.9;0.0;60.3;0;11.4;-;-;-;-;5.4
LUG;20220406;29.9;1.0;0.0;66.9;0;9.4;-;-;-;-;5.2
LUG;20220407;26.3;4.1;0.0;61.6;0;6.5;-;-;-;-;3.9
LUG;20220408;38.9;4.4;3.3;72.6;0;6.6;-;-;-;-;6.5
LUG;20220409;83.2;1.3;0.0;39.2;0;11.8;-;-;-;-;11.9
LUG;20220410;25.6;1.3;0.0;44.6;0;11.8;-;-;-;-;4.2
LUG;20220411;29.9;1.6;0.0;47.5;0;10.5;-;-;-;-;5.1
LUG;20220412;28.8;1.9;0.0;51.4;0;10.4;-;-;-;-;5.7
LUG;20220413;33.5;3.8;0.0;60.6;0;9.3;-;-;-;-;6.7
LUG;20220414;30.2;6.6;0.0;58.1;0;11.9;-;-;-;-;5.1
LUG;20220415;29.9;7.9;0.0;57.0;0;11.3;-;-;-;-;5.8
LUG;20220416;54.7;10.4;0.0;49.9;0;11.9;-;-;-;-;7.6
LUG;20220417;35.3;1.4;0.0;54.2;0;11.2;-;-;-;-;6.0
LUG;20220418;32.0;1.7;0.0;50.5;0;12.0;-;-;-;-;5.1
LUG;20220419;31.7;3.3;0.0;53.0;0;11.4;-;-;-;-;5.2
LUG;20220420;25.9;-2.5;0.0;66.0;0;0.0;-;-;-;-;3.7
LUG;20220421;33.5;-2.1;0.0;60.6;0;0.0;-;-;-;-;4.5
LUG;20220422;32.0;0.6;0.0;68.2;0;0.5;-;-;-;-;4.5
LUG;20220423;44.3;-2.6;29.7;89.5;0;0.0;-;-;-;-;4.6
LUG;20220424;44.6;-2.6;0.3;74.4;0;1.3;-;-;-;-;5.4
LUG;20220425;33.8;2.0;2.1;77.0;0;8.2;-;-;-;-;5.2
LUG;20220426;25.9;0.1;17.2;85.1;0;5.7;-;-;-;-;4.3
LUG;20220427;29.5;3.5;0.0;63.7;0;12.0;-;-;-;-;5.1
LUG;20220428;31.0;3.2;0.0;65.3;0;11.0;-;-;-;-;5.1
LUG;20220429;26.6;2.6;0.0;60.4;0;8.2;-;-;-;-;4.6
