 

stn;time;t12200ds;rka150d0;ure200d0;hto000d0;fhh010dx
LUZ;20220401;1.8;22.1;91.2;0;3.1
LUZ;20220402;0.7;8.8;89.4;6;2.4
LUZ;20220403;3.1;0.0;76.1;3;4.5
LUZ;20220404;5.1;0.0;72.5;0;2.0
LUZ;20220405;9.6;0.0;71.7;0;2.4
LUZ;20220406;15.1;0.0;74.2;0;2.5
LUZ;20220407;13.4;0.1;62.6;0;10.4
LUZ;20220408;17.6;3.9;55.4;0;9.3
LUZ;20220409;4.8;4.9;72.5;0;9.2
LUZ;20220410;8.3;0.0;64.9;0;2.5
LUZ;20220411;13.2;0.0;61.4;0;2.3
LUZ;20220412;17.9;0.0;63.2;0;1.7
LUZ;20220413;21.1;0.0;59.4;0;2.5
LUZ;20220414;21.0;0.0;64.2;0;3.3
LUZ;20220415;18.8;0.0;69.7;0;3.2
LUZ;20220416;12.0;0.0;64.0;0;5.6
LUZ;20220417;13.3;0.0;52.1;0;5.2
LUZ;20220418;14.8;0.0;51.6;0;3.3
LUZ;20220419;17.5;0.0;50.3;0;3.0
LUZ;20220420;16.4;0.0;52.0;0;3.7
LUZ;20220421;16.2;0.0;50.9;0;4.5
LUZ;20220422;14.6;0.0;61.2;0;2.9
LUZ;20220423;13.6;0.0;72.7;0;3.6
LUZ;20220424;11.4;-;80.5;0;6.1
LUZ;20220425;10.7;-;87.9;0;3.3
LUZ;20220426;8.1;-;84.8;0;4.7
LUZ;20220427;15.1;0.0;69.9;0;3.9
LUZ;20220428;17.6;0.0;62.3;0;3.3
LUZ;20220429;18.5;0.0;58.3;0;2.8
LUZ;20220430;15.5;6.6;81.1;0;3.1
LUZ;20220501;13.2;0.0;75.2;0;2.3
LUZ;20220502;17.7;0.0;62.5;0;2.8
LUZ;20220503;18.2;0.0;62.2;0;2.8
LUZ;20220504;16.3;0.1;68.2;0;4.0
LUZ;20220505;11.6;16.4;89.5;0;3.1
LUZ;20220506;12.4;0.9;89.8;0;2.5
LUZ;20220507;14.6;1.7;84.5;0;3.0
LUZ;20220508;16.5;0.0;83.7;0;2.4
LUZ;20220509;18.1;0.0;75.7;0;2.7
LUZ;20220510;22.9;0.0;68.4;0;2.6
LUZ;20220511;25.4;0.0;58.6;0;3.1
LUZ;20220512;25.7;0.0;59.7;0;3.5
LUZ;20220513;19.8;2.0;78.5;0;3.9
LUZ;20220514;21.6;0.0;63.1;0;2.6
LUZ;20220515;24.5;5.1;65.0;0;3.6
LUZ;20220516;21.8;0.0;73.7;0;3.0
LUZ;20220517;24.0;0.0;64.8;0;2.7
LUZ;20220518;26.4;0.0;59.7;0;3.0
LUZ;20220519;20.2;4.2;71.1;0;9.1
LUZ;20220520;27.0;0.0;53.5;0;7.3
LUZ;20220521;22.0;3.8;74.1;0;3.4
LUZ;20220522;22.7;0.3;72.6;0;2.6
LUZ;20220523;22.1;39.1;81.6;0;4.2
LUZ;20220524;12.9;8.1;88.4;0;4.0
LUZ;20220525;19.0;0.9;69.3;0;3.1
LUZ;20220526;19.3;0.0;60.4;0;3.1
LUZ;20220527;22.6;0.0;65.1;0;3.8
LUZ;20220528;18.6;0.0;59.9;0;3.5
LUZ;20220529;17.8;0.1;59.4;0;4.2
LUZ;20220530;18.4;0.0;58.3;0;3.2
LUZ;20220531;17.9;2.0;73.2;0;5.8
LUZ;20220601;16.3;6.2;86.4;0;2.2
LUZ;20220602;20.1;0.1;78.3;0;3.3
LUZ;20220603;23.5;2.3;81.4;0;4.2
LUZ;20220604;26.0;0.6;72.1;0;3.8
LUZ;20220605;17.0;20.1;83.7;0;4.8
LUZ;20220606;21.4;7.1;80.7;0;2.6
LUZ;20220607;18.2;17.2;87.0;0;2.9
LUZ;20220608;20.6;0.9;77.5;0;3.7
LUZ;20220609;15.5;12.4;75.5;0;4.6
LUZ;20220610;19.5;0.0;67.1;0;2.7
LUZ;20220611;24.6;0.0;61.1;0;2.7
LUZ;20220612;27.6;5.0;60.3;0;4.2
LUZ;20220613;20.5;1.3;73.0;0;2.7
LUZ;20220614;24.6;0.0;58.3;0;2.4
LUZ;20220615;27.9;0.2;64.4;0;2.7
LUZ;20220616;28.2;0.6;61.7;0;2.4
LUZ;20220617;28.0;0.0;53.3;0;2.6
LUZ;20220618;30.4;0.0;51.7;0;2.7
LUZ;20220619;32.8;0.0;50.7;0;2.3
LUZ;20220620;29.2;0.0;50.1;0;3.3
LUZ;20220621;28.0;0.0;63.6;0;2.9
LUZ;20220622;21.1;29.6;82.2;0;4.0
LUZ;20220623;26.8;5.2;74.1;0;7.8
LUZ;20220624;17.5;22.3;88.1;0;2.2
LUZ;20220625;24.5;3.8;68.2;0;5.8
LUZ;20220626;24.6;0.3;74.3;0;3.5
LUZ;20220627;21.0;4.6;78.2;0;3.3
LUZ;20220628;18.2;0.3;87.3;0;2.5
LUZ;20220629;23.0;0.0;71.1;0;2.2
LUZ;20220630;23.9;25.2;77.7;0;5.9
LUZ;20220701;14.5;5.9;86.1;0;3.3
LUZ;20220702;22.8;0.0;73.3;0;2.3
LUZ;20220703;27.9;0.2;58.7;0;5.4
LUZ;20220704;24.1;26.6;82.5;0;3.9
LUZ;20220705;23.3;2.8;71.6;0;2.2
LUZ;20220706;24.5;0.0;57.8;0;3.1
LUZ;20220707;23.0;0.0;57.3;0;3.7
LUZ;20220708;21.4;0.0;55.3;0;3.2
LUZ;20220709;23.9;0.0;56.8;0;2.7
LUZ;20220710;22.7;0.0;57.2;0;2.6
LUZ;20220711;22.7;0.0;55.9;0;3.3
LUZ;20220712;26.2;0.0;54.0;0;3.3
LUZ;20220713;26.6;0.0;53.7;0;2.5
LUZ;20220714;31.0;0.0;44.3;0;3.7
LUZ;20220715;26.4;0.0;50.0;0;2.6
LUZ;20220716;25.9;0.0;48.2;0;3.6
LUZ;20220717;27.3;0.0;47.4;0;2.9
LUZ;20220718;29.2;0.0;48.1;0;3.2
LUZ;20220719;30.4;0.0;50.3;0;2.5
LUZ;20220720;31.1;21.3;66.7;0;5.9
LUZ;20220721;25.7;0.0;73.8;0;2.9
LUZ;20220722;28.4;12.1;64.9;0;5.2
LUZ;20220723;26.2;1.9;79.1;0;3.4
LUZ;20220724;28.2;0.0;68.0;0;2.3
LUZ;20220725;32.2;1.6;62.3;0;3.4
LUZ;20220726;21.4;5.6;74.5;0;2.8
LUZ;20220727;22.3;0.0;61.0;0;2.1
LUZ;20220728;25.9;11.7;71.8;0;7.2
LUZ;20220729;21.0;9.8;86.9;0;2.8
LUZ;20220730;24.5;0.0;69.8;0;3.1
LUZ;20220731;27.4;0.0;60.6;0;2.6
LUZ;20220801;28.3;17.0;58.9;0;2.7
LUZ;20220802;26.0;0.0;70.1;0;2.6
LUZ;20220803;29.4;0.0;64.0;0;2.7
LUZ;20220804;31.5;0.0;57.1;0;4.4
LUZ;20220805;27.4;4.1;66.4;0;10.5
LUZ;20220806;18.1;0.0;84.2;0;3.1
LUZ;20220807;18.1;0.0;81.7;0;2.0
LUZ;20220808;24.5;0.0;67.2;0;3.3
LUZ;20220809;26.1;0.0;59.3;0;4.2
LUZ;20220810;25.0;0.0;55.0;0;4.1
LUZ;20220811;26.0;0.0;55.0;0;3.1
LUZ;20220812;26.2;0.0;50.6;0;4.3
LUZ;20220813;26.5;0.0;51.2;0;3.5
LUZ;20220814;25.4;0.5;58.8;0;4.4
LUZ;20220815;24.6;11.5;82.4;0;3.7
LUZ;20220816;26.0;0.0;66.9;0;2.1
LUZ;20220817;27.6;8.7;65.3;0;6.6
LUZ;20220818;20.6;14.9;86.4;0;3.0
LUZ;20220819;17.1;54.4;94.0;0;1.5
LUZ;20220820;18.1;18.5;90.5;0;2.9
LUZ;20220821;22.2;0.0;76.9;0;2.4
LUZ;20220822;23.6;0.0;64.9;0;3.0
LUZ;20220823;25.8;0.0;59.7;0;3.7
LUZ;20220824;24.9;0.0;62.8;0;2.9
LUZ;20220825;25.8;0.0;69.3;0;2.6
LUZ;20220826;26.9;53.0;75.7;0;8.7
LUZ;20220827;21.2;1.2;82.0;0;4.1
LUZ;20220828;21.1;0.0;80.2;0;2.3
LUZ;20220829;24.7;0.0;78.5;0;2.3
LUZ;20220830;25.7;3.1;78.8;0;5.0
LUZ;20220831;17.4;2.3;87.6;0;2.1
LUZ;20220901;18.7;0.0;78.7;0;2.8
LUZ;20220902;21.9;4.0;84.7;0;2.7
LUZ;20220903;18.4;2.5;85.8;0;3.9
LUZ;20220904;23.0;0.0;79.2;0;2.4
LUZ;20220905;25.0;0.0;76.7;0;2.6
LUZ;20220906;22.4;1.5;81.4;0;3.4
LUZ;20220907;23.5;18.8;83.0;0;5.5
LUZ;20220908;21.2;14.1;72.6;0;3.5
LUZ;20220909;21.0;0.3;67.5;0;5.3
LUZ;20220910;18.5;0.4;69.8;0;5.6
LUZ;20220911;20.5;0.0;71.3;0;2.7
LUZ;20220912;21.4;0.0;75.5;0;2.2
LUZ;20220913;24.4;0.0;74.4;0;2.1
LUZ;20220914;21.3;3.9;80.5;0;3.7
LUZ;20220915;17.5;55.3;91.6;0;2.5
LUZ;20220916;16.0;5.4;85.1;0;4.0
LUZ;20220917;11.9;3.3;79.3;0;3.0
LUZ;20220918;14.8;0.0;70.4;0;2.2
LUZ;20220919;14.9;0.0;62.2;0;3.3
LUZ;20220920;15.3;0.0;66.2;0;2.6
LUZ;20220921;14.9;0.0;67.9;0;2.8
LUZ;20220922;15.7;0.0;76.1;0;2.3
LUZ;20220923;18.6;0.0;78.8;0;2.0
LUZ;20220924;14.0;12.4;91.0;0;1.6
LUZ;20220925;13.3;10.9;93.1;0;1.8
LUZ;20220926;14.2;1.4;79.6;0;3.4
LUZ;20220927;10.4;3.8;68.8;0;6.6
LUZ;20220928;11.1;51.5;91.9;0;2.6
LUZ;20220929;10.8;9.1;92.5;0;1.4
LUZ;20220930;11.5;1.7;88.9;0;1.9
LUZ;20221001;11.5;5.9;92.9;0;1.9
LUZ;20221002;21.6;2.1;79.6;0;5.1
LUZ;20221003;15.1;4.2;88.0;0;3.3
LUZ;20221004;15.5;0.0;82.2;0;1.9
LUZ;20221005;19.2;0.0;79.1;0;1.7
LUZ;20221006;19.6;0.0;80.0;0;2.2
LUZ;20221007;17.8;0.0;83.2;0;2.4
LUZ;20221008;15.5;6.9;91.3;0;2.6
LUZ;20221009;11.9;0.0;85.7;0;2.4
LUZ;20221010;16.8;0.1;87.5;0;1.8
LUZ;20221011;18.6;0.0;83.0;0;1.7
LUZ;20221012;16.1;0.0;86.0;0;1.9
LUZ;20221013;16.0;2.2;87.6;0;1.9
LUZ;20221014;16.9;7.3;89.1;0;2.6
LUZ;20221015;17.9;0.3;87.5;0;2.0
LUZ;20221016;19.3;0.0;82.6;0;1.8
LUZ;20221017;21.3;0.0;81.4;0;2.1
LUZ;20221018;20.7;0.0;80.9;0;2.0
LUZ;20221019;14.5;0.0;91.3;0;1.5
LUZ;20221020;15.6;0.2;87.0;0;4.5
LUZ;20221021;15.9;6.0;92.8;0;4.0
LUZ;20221022;17.7;5.3;85.0;0;2.7
LUZ;20221023;16.1;0.7;83.3;0;7.5
LUZ;20221024;14.8;4.3;89.5;0;3.0
LUZ;20221025;17.5;0.8;85.6;0;1.9
LUZ;20221026;18.5;1.8;84.7;0;3.3
LUZ;20221027;18.4;0.0;84.1;0;1.9
LUZ;20221028;17.7;0.0;84.6;0;1.6
LUZ;20221029;19.8;0.0;83.9;0;1.3
LUZ;20221030;16.9;0.0;86.4;0;1.1
LUZ;20221031;15.6;0.0;87.2;0;1.5
LUZ;20221101;15.7;0.0;87.2;0;1.5
LUZ;20221102;14.2;0.0;85.2;0;2.0
LUZ;20221103;12.1;8.0;87.2;0;5.6
LUZ;20221104;11.3;0.5;77.9;0;4.1
LUZ;20221105;8.5;1.9;90.1;0;1.7
LUZ;20221106;7.6;0.0;87.0;0;1.7
LUZ;20221107;13.5;0.0;80.6;0;1.9
LUZ;20221108;13.7;0.0;81.3;0;1.8
LUZ;20221109;11.7;5.9;90.9;0;1.6
LUZ;20221110;12.2;3.9;89.3;0;2.9
LUZ;20221111;12.2;0.0;87.6;0;1.7
LUZ;20221112;8.8;0.0;90.4;0;1.5
LUZ;20221113;7.4;0.0;88.7;0;1.4
LUZ;20221114;10.3;1.2;89.7;0;3.7
LUZ;20221115;10.6;0.4;87.4;0;3.2
LUZ;20221116;12.5;1.8;88.3;0;2.2
LUZ;20221117;14.8;3.0;78.1;0;7.1
LUZ;20221118;10.4;4.6;78.4;0;4.6
LUZ;20221119;8.3;0.0;79.4;0;2.1
LUZ;20221120;8.3;0.3;77.1;0;6.1
LUZ;20221121;10.0;0.4;66.3;0;4.3
LUZ;20221122;7.8;3.6;79.6;0;2.4
LUZ;20221123;7.6;2.4;78.9;0;3.9
LUZ;20221124;9.1;0.1;87.1;0;2.0
LUZ;20221125;8.6;3.3;87.2;0;2.0
LUZ;20221126;7.5;0.0;90.0;0;2.1
LUZ;20221127;6.3;0.0;85.6;0;1.6
LUZ;20221128;8.4;0.5;80.4;0;1.4
LUZ;20221129;7.6;4.3;91.0;0;1.5
LUZ;20221130;5.2;1.5;88.7;0;2.6
LUZ;20221201;2.7;1.6;89.8;0;2.0
LUZ;20221202;4.9;0.0;84.9;0;3.0
LUZ;20221203;2.1;0.0;84.8;0;2.2
LUZ;20221204;2.5;0.3;90.0;0;1.7
LUZ;20221205;4.4;1.8;88.5;0;3.5
LUZ;20221206;2.3;0.0;92.0;0;2.7
LUZ;20221207;2.9;0.0;83.4;0;1.8
LUZ;20221208;3.8;0.0;77.7;0;2.1
LUZ;20221209;1.2;6.4;92.4;2;1.4
LUZ;20221210;0.5;4.2;91.8;3;2.3
LUZ;20221211;-2.9;0.0;84.2;6;2.5
LUZ;20221212;-2.9;0.0;78.8;5;3.0
LUZ;20221213;-4.2;2.6;85.5;3;2.3
LUZ;20221214;1.9;0.6;89.2;4;1.4
LUZ;20221215;2.4;0.3;95.6;2;2.2
LUZ;20221216;0.0;7.5;93.3;5;1.3
LUZ;20221217;-2.0;0.0;89.2;8;1.5
LUZ;20221218;-1.6;0.0;88.0;7;1.4
LUZ;20221219;3.7;0.0;91.5;4;1.2
LUZ;20221220;6.5;0.0;89.0;2;1.4
LUZ;20221221;7.3;0.8;92.3;0;1.6
LUZ;20221222;13.9;0.4;73.3;0;5.5
LUZ;20221223;11.3;14.2;83.9;0;5.8
LUZ;20221224;8.3;21.0;91.5;0;7.1
LUZ;20221225;8.6;0.2;94.1;0;1.6
LUZ;20221226;8.2;13.9;85.3;0;7.1
LUZ;20221227;6.8;3.0;88.1;0;2.4
LUZ;20221228;7.9;0.0;82.1;0;3.1
LUZ;20221229;9.6;2.8;78.4;0;1.8
LUZ;20221230;7.3;8.0;91.2;0;2.3
LUZ;20221231;12.6;0.0;90.5;0;1.6
LUZ;20230101;11.1;0.0;88.0;0;1.3
LUZ;20230102;10.3;0.4;84.4;0;2.1
LUZ;20230103;7.7;5.3;93.7;0;2.2
LUZ;20230104;7.6;0.1;88.7;0;1.3
LUZ;20230105;10.4;1.0;89.8;0;1.9
LUZ;20230106;8.3;0.0;88.5;0;2.4
LUZ;20230107;7.4;0.0;81.9;0;2.9
LUZ;20230108;6.5;8.0;87.2;0;5.3
LUZ;20230109;8.1;10.0;69.6;0;6.7
LUZ;20230110;6.6;1.3;66.3;0;5.1
LUZ;20230111;6.2;4.3;80.6;0;4.8
LUZ;20230112;6.8;0.0;78.0;0;2.9
LUZ;20230113;10.0;1.1;70.7;0;7.1
LUZ;20230114;7.6;0.1;73.7;0;2.0
LUZ;20230115;5.0;8.6;87.3;0;5.8
LUZ;20230116;1.8;1.9;78.3;0;4.1
LUZ;20230117;2.0;0.6;88.3;0;2.5
LUZ;20230118;0.5;5.0;90.0;0;2.4
LUZ;20230119;-0.9;0.0;80.0;6;-
LUZ;20230120;-1.8;0.0;79.7;3;-
LUZ;20230121;-2.4;0.1;81.2;2;-
LUZ;20230122;-0.3;0.0;76.3;3;-
LUZ;20230123;-0.6;0.0;71.3;3;-
LUZ;20230124;0.8;0.0;76.3;3;-
