 

stn;time;fu3010d1;t12200ds;rka150d0;ure200d0;fhh010dx
NABHAE;20220401;33.5;2.8;4.0;90.5;4.6
NABHAE;20220402;37.4;1.8;0.9;87.9;5.8
NABHAE;20220403;26.3;2.4;0.3;79.2;4.2
NABHAE;20220404;33.1;7.3;0.0;66.3;6.0
NABHAE;20220405;33.5;11.7;0.0;63.4;5.8
NABHAE;20220406;33.8;15.9;0.3;72.6;5.7
NABHAE;20220407;57.6;9.0;15.3;89.6;9.2
NABHAE;20220408;58.3;11.6;35.0;92.1;9.6
NABHAE;20220409;64.4;7.0;2.8;72.0;10.0
NABHAE;20220410;18.7;8.9;0.0;66.6;2.3
NABHAE;20220411;12.6;13.7;0.0;64.4;1.8
NABHAE;20220412;16.6;18.7;0.0;68.3;2.3
NABHAE;20220413;26.6;22.5;0.0;60.7;4.3
NABHAE;20220414;36.4;22.0;0.0;66.7;6.5
NABHAE;20220415;23.0;20.3;0.0;65.3;3.6
NABHAE;20220416;36.7;14.6;0.0;58.1;5.4
NABHAE;20220417;38.9;14.8;0.0;42.4;5.8
NABHAE;20220418;21.6;16.4;0.0;46.8;3.1
NABHAE;20220419;27.0;19.1;0.0;53.7;4.1
NABHAE;20220420;31.7;16.4;0.0;46.7;4.9
NABHAE;20220421;26.3;16.6;0.0;46.2;4.4
NABHAE;20220422;21.6;17.0;0.0;60.7;3.3
NABHAE;20220423;47.2;13.7;0.2;77.2;5.4
NABHAE;20220424;39.2;11.9;19.5;91.3;6.2
NABHAE;20220425;27.7;12.2;13.3;94.0;4.5
NABHAE;20220426;28.8;12.6;7.6;82.3;3.5
NABHAE;20220427;26.3;14.8;0.0;71.0;4.2
NABHAE;20220428;26.6;17.8;0.0;59.9;4.3
NABHAE;20220429;38.9;19.6;0.0;56.9;6.6
NABHAE;20220430;54.4;14.8;12.0;82.4;6.5
NABHAE;20220501;19.4;14.8;0.0;75.5;3.2
NABHAE;20220502;22.7;18.4;0.0;68.0;3.7
NABHAE;20220503;25.9;19.3;3.0;77.9;3.6
NABHAE;20220504;38.9;17.4;7.4;84.1;3.6
NABHAE;20220505;19.8;12.3;7.7;94.0;2.2
NABHAE;20220506;22.3;12.8;2.8;92.4;3.0
NABHAE;20220507;29.9;18.5;1.5;85.1;4.2
NABHAE;20220508;27.4;17.5;0.0;79.0;4.2
NABHAE;20220509;20.5;20.5;0.0;73.6;3.2
NABHAE;20220510;23.0;23.6;0.0;70.3;3.0
NABHAE;20220511;36.0;25.6;0.0;59.3;6.3
NABHAE;20220512;44.6;26.4;0.0;51.9;6.8
NABHAE;20220513;22.3;18.5;0.3;78.2;2.7
NABHAE;20220514;22.0;23.7;0.0;65.7;3.2
NABHAE;20220515;35.6;25.4;0.5;64.0;3.2
NABHAE;20220516;28.8;24.8;0.0;70.8;5.2
NABHAE;20220517;19.8;24.9;0.0;66.3;3.3
NABHAE;20220518;22.3;26.6;0.0;60.1;3.4
NABHAE;20220519;36.0;29.3;0.2;68.4;6.2
NABHAE;20220520;47.9;29.1;0.5;56.6;7.7
NABHAE;20220521;26.3;24.3;0.4;68.6;3.5
NABHAE;20220522;17.3;23.7;0.0;71.5;2.5
NABHAE;20220523;36.4;26.0;3.7;82.9;4.9
NABHAE;20220524;47.5;16.6;0.4;77.6;7.3
NABHAE;20220525;33.8;18.7;0.0;61.8;5.3
NABHAE;20220526;31.3;20.2;0.1;60.1;5.2
NABHAE;20220527;48.6;22.4;0.0;67.6;7.3
NABHAE;20220528;29.2;18.1;0.0;52.9;4.9
NABHAE;20220529;37.1;17.3;0.0;51.0;5.1
NABHAE;20220530;23.0;18.9;0.1;51.9;3.3
NABHAE;20220531;37.4;19.2;0.3;72.4;5.6
NABHAE;20220601;22.3;19.8;0.0;81.0;3.0
NABHAE;20220602;24.8;21.5;0.1;75.2;3.7
NABHAE;20220603;31.3;23.1;0.3;81.3;3.6
NABHAE;20220604;50.0;27.0;5.7;73.2;3.8
NABHAE;20220605;39.2;20.8;10.2;89.5;4.9
NABHAE;20220606;31.0;24.1;1.8;78.7;5.0
NABHAE;20220607;34.6;17.6;5.8;82.2;4.7
NABHAE;20220608;40.0;20.8;0.4;79.2;6.1
NABHAE;20220609;32.4;15.4;7.3;80.2;4.5
NABHAE;20220610;25.9;21.5;0.0;68.1;3.3
NABHAE;20220611;19.1;25.1;0.0;63.8;2.6
NABHAE;20220612;31.0;28.7;0.8;63.2;4.1
NABHAE;20220613;34.2;24.7;0.8;60.1;4.4
NABHAE;20220614;25.2;25.7;0.0;53.3;3.8
NABHAE;20220615;28.8;30.2;0.5;61.4;4.3
NABHAE;20220616;35.6;30.3;0.0;57.9;6.3
NABHAE;20220617;18.4;28.8;0.0;53.0;2.6
NABHAE;20220618;30.6;32.1;0.0;53.0;3.9
NABHAE;20220619;33.5;34.9;0.0;52.6;5.3
NABHAE;20220620;37.8;32.1;0.0;54.9;5.9
NABHAE;20220621;41.0;29.3;0.0;59.6;4.9
NABHAE;20220622;55.4;23.5;10.6;86.6;4.6
NABHAE;20220623;56.2;27.6;42.4;77.4;5.0
NABHAE;20220624;43.9;18.1;9.3;93.5;3.4
NABHAE;20220625;52.2;24.5;5.6;73.9;4.3
NABHAE;20220626;48.2;25.5;0.3;79.0;4.0
NABHAE;20220627;37.1;20.1;2.2;78.8;5.2
NABHAE;20220628;22.3;19.8;0.1;86.1;3.3
NABHAE;20220629;22.0;24.6;0.0;75.7;2.4
NABHAE;20220630;39.2;29.2;10.5;76.8;5.3
NABHAE;20220701;20.9;17.5;12.3;84.7;1.9
NABHAE;20220702;22.0;24.1;0.0;72.4;3.1
NABHAE;20220703;20.5;29.2;0.5;66.0;3.4
NABHAE;20220704;25.2;24.0;10.5;88.2;3.5
NABHAE;20220705;23.4;24.9;1.4;65.9;3.4
NABHAE;20220706;33.8;25.2;0.2;58.0;4.7
NABHAE;20220707;43.6;23.6;0.1;58.7;6.2
NABHAE;20220708;24.1;23.0;0.0;59.4;4.0
NABHAE;20220709;23.0;24.5;0.2;54.7;3.5
NABHAE;20220710;37.8;24.2;0.0;59.9;5.7
NABHAE;20220711;25.6;24.1;0.0;54.0;4.2
NABHAE;20220712;24.5;26.5;0.1;52.9;3.7
NABHAE;20220713;17.3;30.0;0.1;49.3;1.6
NABHAE;20220714;42.8;32.5;0.0;43.6;7.7
NABHAE;20220715;29.5;27.0;0.0;47.1;4.3
NABHAE;20220716;31.3;26.7;0.0;44.4;4.6
NABHAE;20220717;26.3;28.3;0.0;42.2;4.3
NABHAE;20220718;21.6;31.5;0.0;46.9;3.1
NABHAE;20220719;15.1;32.6;0.1;47.0;1.7
NABHAE;20220720;47.9;30.5;9.6;67.1;5.6
NABHAE;20220721;21.2;27.4;0.3;69.9;3.2
NABHAE;20220722;39.2;30.5;0.2;60.8;5.6
NABHAE;20220723;17.3;24.1;12.7;81.3;2.2
NABHAE;20220724;16.6;29.2;0.0;63.5;2.6
NABHAE;20220725;44.6;33.5;0.0;53.9;7.8
NABHAE;20220726;38.5;24.8;0.0;56.1;5.9
NABHAE;20220727;27.7;24.8;0.0;52.4;4.3
NABHAE;20220728;27.0;27.9;3.8;59.4;4.4
NABHAE;20220729;27.0;23.9;4.8;88.5;3.4
NABHAE;20220730;20.9;25.2;0.2;69.3;3.2
NABHAE;20220731;23.8;28.8;0.0;63.0;3.5
NABHAE;20220801;36.0;30.0;0.0;59.0;6.3
NABHAE;20220802;22.0;29.3;0.1;62.1;3.7
NABHAE;20220803;20.5;31.8;0.0;55.7;2.1
NABHAE;20220804;21.6;34.7;0.1;52.3;2.9
NABHAE;20220805;47.2;31.7;0.9;53.5;7.3
NABHAE;20220806;28.1;19.4;0.0;76.7;4.1
NABHAE;20220807;26.6;23.0;0.0;74.9;4.4
NABHAE;20220808;30.6;27.0;0.2;58.3;4.8
NABHAE;20220809;38.9;28.6;0.1;47.6;5.4
NABHAE;20220810;31.3;28.3;0.0;42.8;4.7
NABHAE;20220811;24.1;28.5;0.1;46.4;3.3
NABHAE;20220812;31.0;27.6;0.1;40.9;4.7
NABHAE;20220813;29.2;28.0;0.3;41.1;4.0
NABHAE;20220814;29.2;24.9;0.6;59.4;4.6
NABHAE;20220815;38.2;26.7;0.2;72.4;5.7
NABHAE;20220816;23.4;28.5;0.0;60.0;3.4
NABHAE;20220817;41.4;29.2;30.0;67.6;7.3
NABHAE;20220818;20.5;22.3;4.5;88.3;3.2
NABHAE;20220819;19.4;19.0;6.0;96.3;2.4
NABHAE;20220820;22.0;21.5;17.1;94.1;2.4
NABHAE;20220821;19.4;24.0;0.0;78.5;3.1
NABHAE;20220822;22.7;26.6;0.0;63.0;3.4
NABHAE;20220823;23.4;27.0;0.0;61.6;3.6
NABHAE;20220824;26.3;27.0;0.0;60.3;4.3
NABHAE;20220825;15.8;27.5;0.0;68.9;1.7
NABHAE;20220826;38.5;27.0;7.1;78.5;6.4
NABHAE;20220827;24.5;24.3;1.3;85.0;3.0
NABHAE;20220828;22.3;21.9;0.0;81.2;3.2
NABHAE;20220829;15.1;25.8;0.0;73.8;2.0
NABHAE;20220830;24.8;27.0;5.7;80.7;3.0
NABHAE;20220831;24.8;19.5;3.5;86.2;3.7
NABHAE;20220901;26.6;20.0;0.0;78.5;3.6
NABHAE;20220902;28.4;23.0;0.0;81.5;3.1
NABHAE;20220903;20.2;20.1;2.6;88.8;2.9
NABHAE;20220904;13.7;25.3;0.2;77.7;1.4
NABHAE;20220905;17.3;25.4;0.1;80.1;2.1
NABHAE;20220906;30.6;17.7;4.3;93.6;2.3
NABHAE;20220907;25.6;23.9;8.0;86.8;2.8
NABHAE;20220908;35.6;21.4;13.4;78.3;5.2
NABHAE;20220909;52.6;23.1;1.5;77.4;6.5
NABHAE;20220910;34.2;19.6;0.9;80.9;5.0
NABHAE;20220911;19.1;21.4;0.1;77.5;2.4
NABHAE;20220912;12.2;22.1;0.0;80.1;1.4
NABHAE;20220913;22.3;24.4;0.0;79.2;2.5
NABHAE;20220914;35.3;22.9;2.9;86.5;5.7
NABHAE;20220915;31.3;17.7;21.8;97.5;4.6
NABHAE;20220916;42.5;16.6;0.7;80.1;7.8
NABHAE;20220917;33.5;13.5;0.2;67.4;5.6
NABHAE;20220918;41.8;16.4;0.0;66.4;5.3
NABHAE;20220919;32.4;15.7;0.0;64.0;4.2
NABHAE;20220920;28.1;15.7;0.0;71.8;4.6
NABHAE;20220921;29.5;16.1;0.0;66.9;4.6
NABHAE;20220922;14.4;16.7;0.0;77.5;2.1
NABHAE;20220923;35.3;19.6;0.0;81.2;5.4
NABHAE;20220924;15.1;14.6;7.4;97.2;2.2
NABHAE;20220925;20.5;12.7;4.0;99.2;2.7
NABHAE;20220926;40.0;12.2;5.1;86.2;6.0
NABHAE;20220927;41.0;11.3;14.6;88.6;6.9
NABHAE;20220928;43.6;11.0;30.4;96.4;6.6
NABHAE;20220929;10.1;11.8;12.1;95.6;1.2
NABHAE;20220930;14.8;13.8;0.0;90.5;2.2
NABHAE;20221001;49.0;10.8;8.4;95.8;7.9
NABHAE;20221002;46.8;19.3;5.5;88.5;7.1
NABHAE;20221003;19.1;15.1;1.0;90.1;2.8
NABHAE;20221004;15.1;17.6;0.0;89.2;2.1
NABHAE;20221005;29.5;19.8;0.0;85.3;4.3
NABHAE;20221006;20.2;19.8;0.0;87.1;3.3
NABHAE;20221007;21.6;20.0;0.0;86.6;3.3
NABHAE;20221008;22.0;16.2;1.1;88.1;2.8
NABHAE;20221009;21.6;13.1;0.0;88.2;3.3
NABHAE;20221010;21.6;19.1;0.0;88.8;3.0
NABHAE;20221011;21.2;18.3;0.0;89.6;3.1
NABHAE;20221012;12.6;16.6;0.0;92.2;1.8
NABHAE;20221013;16.6;16.4;4.6;94.7;2.3
NABHAE;20221014;34.2;16.1;8.0;97.3;5.3
NABHAE;20221015;35.3;19.0;0.7;89.7;5.9
NABHAE;20221016;21.6;21.5;0.0;87.2;3.4
NABHAE;20221017;18.7;20.8;0.0;88.2;2.6
NABHAE;20221018;14.8;21.1;0.0;88.6;1.8
NABHAE;20221019;18.0;15.0;0.0;95.2;3.0
NABHAE;20221020;18.4;16.1;0.4;95.4;2.6
NABHAE;20221021;26.3;16.2;16.1;97.9;2.6
NABHAE;20221022;24.8;19.4;3.8;91.1;3.1
NABHAE;20221023;24.1;13.9;4.9;96.6;3.6
NABHAE;20221024;36.4;13.8;15.3;99.6;2.6
NABHAE;20221025;14.8;14.4;0.1;97.3;1.9
NABHAE;20221026;21.2;18.9;1.2;93.6;3.0
NABHAE;20221027;18.4;17.1;0.0;93.1;2.6
NABHAE;20221028;22.0;19.9;0.0;92.1;3.3
NABHAE;20221029;11.2;18.3;0.0;93.3;1.7
NABHAE;20221030;13.3;15.6;0.0;94.9;2.0
NABHAE;20221031;11.9;15.4;0.0;96.0;1.9
NABHAE;20221101;31.0;16.6;0.9;93.7;5.2
NABHAE;20221102;11.2;14.8;0.0;91.1;1.6
NABHAE;20221103;25.2;10.6;7.9;98.8;3.6
NABHAE;20221104;27.0;11.0;2.1;94.4;4.2
NABHAE;20221105;21.2;9.4;8.7;94.2;2.7
NABHAE;20221106;18.4;5.9;0.5;97.9;2.6
NABHAE;20221107;20.2;14.0;0.0;91.2;2.5
NABHAE;20221108;13.3;10.6;0.0;91.2;1.8
NABHAE;20221109;10.4;10.1;12.8;96.4;1.9
NABHAE;20221110;16.6;13.3;0.3;89.7;2.9
NABHAE;20221111;18.4;10.5;0.0;92.1;2.6
NABHAE;20221112;13.3;6.7;0.1;98.4;2.1
NABHAE;20221113;15.8;6.6;0.0;93.1;2.3
NABHAE;20221114;13.0;8.5;1.3;95.4;2.1
NABHAE;20221115;11.5;8.7;3.0;98.0;1.2
NABHAE;20221116;24.5;12.9;4.0;88.7;3.9
NABHAE;20221117;43.9;13.6;12.9;84.9;6.2
NABHAE;20221118;32.0;8.5;6.7;87.1;5.6
NABHAE;20221119;24.8;8.9;0.0;83.7;3.1
NABHAE;20221120;40.7;8.0;3.1;80.7;6.1
NABHAE;20221121;40.7;9.0;3.0;83.3;6.6
