 

stn;time;t12200ds;rka150d0;ure200d0;fhh010dx
STG;20220401;0.5;26.9;97.1;2.6
STG;20220402;-2.2;12.3;97.1;3.5
STG;20220403;-1.2;2.0;86.9;3.0
STG;20220404;2.2;0.0;72.2;4.7
STG;20220405;6.8;0.5;71.2;3.9
STG;20220406;14.6;0.2;70.5;5.0
STG;20220407;11.6;11.0;70.8;8.2
STG;20220408;13.0;4.4;67.9;7.7
STG;20220409;3.7;14.3;84.8;10.9
STG;20220410;4.4;0.0;65.3;2.8
STG;20220411;10.8;0.0;50.0;2.4
STG;20220412;16.2;0.0;48.1;1.8
STG;20220413;16.9;0.0;52.5;3.1
STG;20220414;17.2;0.0;60.0;3.0
STG;20220415;13.9;0.0;75.9;2.7
STG;20220416;9.4;0.0;75.9;5.2
STG;20220417;9.7;0.0;61.0;5.2
STG;20220418;11.0;0.0;54.7;3.2
STG;20220419;12.9;0.0;48.4;3.4
STG;20220420;11.1;0.0;60.8;4.1
STG;20220421;11.4;0.0;58.5;3.9
STG;20220422;9.4;0.0;71.9;2.3
STG;20220423;8.9;0.0;75.6;6.2
STG;20220424;10.1;15.4;77.1;7.6
STG;20220425;9.9;8.3;81.4;4.3
STG;20220426;8.0;9.4;84.6;4.4
STG;20220427;11.3;0.0;75.0;4.2
STG;20220428;13.4;0.0;65.3;3.5
STG;20220429;14.0;0.0;57.5;2.7
STG;20220430;11.5;9.5;84.0;3.9
STG;20220501;10.2;0.0;79.7;2.8
STG;20220502;13.1;0.0;69.2;3.0
STG;20220503;14.8;0.3;70.1;2.1
STG;20220504;14.2;2.1;76.1;3.0
STG;20220505;13.0;8.4;82.9;3.8
STG;20220506;9.9;5.1;95.8;2.8
STG;20220507;12.8;0.6;92.8;2.4
STG;20220508;13.8;0.0;87.9;4.4
STG;20220509;15.3;0.0;77.1;2.3
STG;20220510;19.4;0.0;62.6;3.2
STG;20220511;22.4;0.0;47.7;4.2
STG;20220512;23.1;0.1;50.8;5.4
STG;20220513;16.3;0.1;74.6;4.0
STG;20220514;19.0;0.0;65.5;2.9
STG;20220515;21.7;0.5;58.2;3.9
STG;20220516;22.3;5.9;67.4;5.6
STG;20220517;19.5;0.0;62.5;3.9
STG;20220518;22.1;0.0;58.8;3.5
STG;20220519;24.7;1.8;54.6;6.4
STG;20220520;26.7;1.1;51.3;6.0
STG;20220521;18.2;19.8;76.2;3.9
STG;20220522;18.7;0.0;74.2;4.6
STG;20220523;20.4;10.3;78.4;4.6
STG;20220524;10.6;14.7;87.3;4.3
STG;20220525;15.1;4.5;74.7;2.9
STG;20220526;16.3;0.0;62.8;3.1
STG;20220527;20.0;0.0;66.9;6.0
STG;20220528;13.5;0.2;66.6;4.3
