 

stn;time;fu3010d1;t12200ds;rka150d0;ure200d0;hto000d0;su2000d0;fhh010dx
KLO;20220401;36.7;2.9;12.4;93.3;0;0.0;5.5
KLO;20220402;29.2;0.5;3.2;89.4;2;0.0;4.4
KLO;20220403;36.0;2.2;0.0;76.7;1;2.4;5.6
KLO;20220404;43.6;6.2;0.0;64.0;0;9.6;6.1
KLO;20220405;32.4;10.1;0.0;64.4;0;0.0;4.9
KLO;20220406;39.2;15.2;1.3;72.2;0;5.9;5.0
KLO;20220407;88.6;10.8;17.2;73.5;0;0.8;13.1
KLO;20220408;89.6;13.5;11.4;76.6;0;0.2;12.2
KLO;20220409;82.1;6.9;2.8;71.1;0;5.2;11.8
KLO;20220410;32.8;9.6;0.1;65.2;0;10.3;3.7
KLO;20220411;20.5;13.6;0.0;61.4;0;10.9;3.1
KLO;20220412;15.5;18.5;0.0;63.0;0;9.9;2.6
KLO;20220413;27.4;20.2;0.0;61.2;0;10.9;3.9
KLO;20220414;29.5;21.0;0.0;65.2;0;11.6;4.8
KLO;20220415;36.4;19.0;2.5;65.7;0;4.1;5.9
KLO;20220416;55.4;14.3;0.0;60.3;0;7.3;10.6
KLO;20220417;57.2;14.1;0.0;44.5;0;12.8;9.1
KLO;20220418;32.4;15.1;0.0;50.8;0;12.9;4.3
KLO;20220419;41.8;16.8;0.0;52.1;0;11.3;6.4
KLO;20220420;41.8;14.9;0.0;49.9;0;12.1;6.7
KLO;20220421;43.9;16.8;0.0;51.9;0;12.8;6.6
KLO;20220422;26.6;15.9;0.0;67.4;0;11.3;4.2
KLO;20220423;33.1;12.4;0.0;76.8;0;0.3;5.8
KLO;20220424;64.1;10.6;18.7;86.0;0;0.0;8.2
KLO;20220425;35.3;11.0;4.7;86.9;0;1.1;4.9
KLO;20220426;42.1;10.6;19.8;86.2;0;2.9;5.1
KLO;20220427;38.5;14.3;0.0;72.3;0;10.9;6.5
KLO;20220428;44.3;17.1;0.0;61.1;0;13.3;6.4
KLO;20220429;22.0;17.9;0.0;59.7;0;8.5;3.2
KLO;20220430;43.9;12.6;8.1;82.2;0;1.5;5.3
KLO;20220501;24.5;13.9;0.0;73.3;0;9.3;3.6
KLO;20220502;28.4;17.4;0.0;67.4;0;11.8;3.8
KLO;20220503;43.2;19.2;2.3;76.3;0;6.5;7.6
KLO;20220504;37.1;19.4;0.2;76.7;0;5.6;5.0
KLO;20220505;30.6;13.6;27.8;89.8;0;0.0;5.0
KLO;20220506;26.3;13.3;7.4;88.5;0;0.0;3.9
KLO;20220507;38.5;17.4;0.7;81.8;0;1.3;4.7
KLO;20220508;35.6;16.8;0.0;74.8;0;0.7;5.3
KLO;20220509;31.0;18.8;0.0;73.7;0;7.8;4.3
KLO;20220510;24.5;22.8;0.0;70.3;0;10.3;3.2
KLO;20220511;50.4;25.6;0.0;57.7;0;13.7;6.9
KLO;20220512;54.0;25.0;0.3;51.5;0;9.9;7.3
KLO;20220513;31.0;18.2;0.1;79.5;0;1.4;4.3
KLO;20220514;18.0;22.6;0.0;66.5;0;12.7;2.3
KLO;20220515;46.4;24.5;0.3;64.8;0;13.3;5.1
KLO;20220516;37.4;22.4;0.0;68.8;0;7.7;5.6
KLO;20220517;25.9;24.3;0.0;66.8;0;13.7;4.3
KLO;20220518;34.2;26.1;0.0;58.5;0;14.0;5.3
